Title,Est Release Year,Operating System
The Bridge Constructor Physics Bundle Vol. 1,2019,Windows 7/8/10
The Cameron Files,2002,Windows 95/98/ME/2000/XP
The Cat in the Hat,1997,Windows
The Chaos Engine,1995,MS-DOS
The Clue Finders 6th Grade Adventures,1999,Windows and Mac
The Clue Finders Reading Adventures,1999,Windows and Mac
The Comic Collector,1993,DOS
The Complete Parental Control Solution,2014,Android/Kindle/Windows/MacOSX/iOS
The Complete Ultima VII,1993,MS-DOS
The Crystal Key,2001,Windows 95/98 & Mac
The Curse of Monkey Island,1997,Windows 95
The Cycles,1989,DOS
The Daedalus Encounter,1995,Windows
The Dark Eye,1995,Windows 3.1//95
The Depths of Doom Trilogy,1997,DOS/Windows
The Dig,1995,Mac
The EA Games Collection,2004,Windows XP/2000/ME/98
The Elder Scrolls Online,2014,Windows XP & Mac
The Elder Scrolls Online Exclusive Preview Disc,2014,Windows
The Elder Scrolls: Anthology,2013,Windows
The Evil Within 2,2017,Windows 7/8.1/10
The Evil Within 2,2017,Windows 7/8.1/10
The Family Doctor 3rd Edition,1995,Windows 3.1 or later
The First Templar,2011,Windows
The Godfather II,2009,Windows XP/Vista
The Godfather: The Game,2009,Windows XP/2000
The Great Gazoo,???,???
The Haunted Hells Reach,2011,Windows XP/Vista/7
The History Channel: Battle for the Pacific,2007,Windows XP/Vista
The History Channel: Great Battles of Rome,2008,Windows
The House of the Dead 2,2001,Windows 95/98/ME
The Incredible Hulk,2008,Windows 2000/XP
The Incredible Machine (Version 3.0),1995,Windows
The Incredibles: Print Studio,2005,Windows 98/ME/XP
The Incredibles: Print Studio,2005,Windows 98/ME/XP
The Italian Job,2001,Windows 98/ME/2000/XP
The Journeyman Project 3: Legacy on Time,1998,Windows 95/Mac
The Learning Company The Club Finders 5th grade adventures,1999,Windows/Mac Version 1.0
The Life of Christ,1999,Mac & Windows 95
The Lord of the Ring Online Shadows of Angmar Special Edition,2007,Windows XP
The Lord of the Rings Online Shadows of Angmar,2007,Windows XP
The Lord of the Rings Online: Mines of Moria,2008,Windows XP
The Lord of the Rings The Return of the King,2003,Windows 98/ME/2000/XP
The Lord of the Rings the Return of the King,2003,Windows
The Lord of the Rings War of the Ring,2003,Windows
The Lord of the Rings: Fellowship of the Ring,2002,Windows
The Lord of the Rings: the Battle for Middle Earth,2004,Windows
The Lord of the Rings: The Fellowship of the Ring,2002,Windows
The Magic School Bus Explores the Ocean,1995,DOS/Windows
The Magic School Bus Explores the Rainforest,1997,Windows 95
The Magic School Bus Explores the Solar System,1995,Windows
The Messenger,2001,Windows 95/98/ME
The Movies,2005,Windows 98SE/ME/2000/XP
The Movies Superstar Edition,2009,Mac
The Movies: Stunts & Effects Expansion Pack,2006,Windows 98SE/ME/2000/XP
The Music Factory’s Encyclopedia of Christmas,1995,Windows 3.1
The Mystery of the Mummy,2003,Windows
The Next Tetris,1999,Windows 95/98
The Official America Online Interactive Tour Guide,????,Windows
The Orange Box,2007,Windows
The Oregon Trail Classic Edition,1996,DOS
The Otter’s Adventure,1995,Windows/Mac
The Platinum Collection,1993,Windows 3.1
The Price is Right 2010 Edition,2009,Windows XP/Vista
The Print Shop Deluxe,2001,Windows 95/98/2000/ME/XP
The Print Shop Publishing Suite,1998,Mac
The Punisher,2005,Windows 98SE/ME/2000/XP
The Quest for the Holy Grail,1984,Commodore 64
The Sacred Rings,2007,Windows 2000/XP/Vista
The Seven Cities of Gold,1984,Atari 400/800
The Shield the Game,2006,Windows XP
The Simpons Virtual Springfield,1997,Windows 95/Power Mac
The Sims 2,2005,Windows
The Sims 3,2009,Windows XP/Vista
The Sims Mega Deluxe,2004,Windows
The Sims Unleashed Expansion Pack,2003,Windows
The Skins Game at Bighorn,1995,Windows
The Slugger,1985,Commodore 64
The Spongebob Squarepants Movie: The Game,2004,Windows 98/ME/2000/XP
The Terminator: Future Shock,1984,DOS
The Thing,2002,Windows
The Time Warp of Dr. Brain,1996,Windows
The Ultimate Doom,1995,Windows 95
The Ultimate Wizardry Archives,1998,Windows 95/98
The Universe According to Virgil Reality,1996,Windows
The Viva Adventure Anthrology,2008,Windows
The Witcher,2007,Windows XP/Vista
The Wizards’s Den,2007,Windows 2000/XP/Vista
The Yukon Trail,1994,DOS
Theme Hospital,1998,Windows
Thexder,1995,Windows 95
Thinkin’ Things Collection 1,1995,Windows/DOS/Mac
THQ Board Game Collection,2006,Windows ME/2000/XP
Throne of Darkness,2001,Windows
Thunder Gun The Cybwar Mission,1995,MS-DOS 5.0
Tick! Tack!,2014,Windows XP/Vista/7/8
Tiger Chess 15,2003,Windows 98/ME/2000/XP
Tiger Woods PGA Tour 08,2007,Windows XP/Vista
Tiger Woods PGA Tour 2001 and Madden 2001,2001,WIndows 95/98
Tiger Woods PGA Tour 2005,2004,Windows
Tiger Woods PGA Tour Collection,1999,Windows
Time Commando,1996,Windows 95/MS-DOS
Timeworks Word Writer with Spell Checker,1983,Commodore 64/128
Timon & Pumbaa’s Jungle Games,1995,Windows 95
Titan Fall,2014,Windows Vista/7/8
Titan Quest,2006,Windows 2000/XP
Titanic Adventure out of time,1996,Windows 3.1 or 95
TMNT,2007,Windows XP/Vista
To Serve and Command,2004,Windows
Tom Clancy SSN,1996,Windows 95/98/ME
Tom Clancy’s EndWar,2008,Windows XP SP2/Vista SP1
Tom Clancy’s Ghost Recon,2001,Windows 9X/ME/2000/XP
Tom Clancy’s Ghost Recon,2001,Windows
Tom Clancy’s Ghost Recon Island Thunder,2002,Windows
Tom Clancy’s Ghost Recon: Advanced Warfighter,2006,Windows 2000/XP
Tom Clancy’s Ghost Recon: Desert Siege,2002,Windows 98/2000/ME/XP
Tom Clancy’s Rainbow Six,1998,Windows 95/98
Tom Clancy’s Rainbow Six,1998,Windows
Tom Clancy’s Rainbow Six 3 Raven Shield,2003,Windows 98/ME/2000/XP
Tom Clancy’s Rainbow Six 3: Raven Shield,2003,Windows 98/ME/2000/XP
Tom Clancy’s Rainbow Six Collector’s Edition,2000,Windows 95/98/ME
Tom Clancy’s Rainbow Six Covert Ops Essentials,1999,Windows 95/98
Tom Clancy’s Rainbow Six Mission Pack: Eagle Watch,1999,Windows 95/98
Tom Clancy’s Rainbow Six Mission Pack: Eagle Watch,1998,Windows
Tom Clancy’s Rainbow Six Rogue Spear,1999,Windows 95/98
Tom Clancy’s Rainbow Six Rogue Spear Black Thorn,2001,Windows 95/98/ME/2000
Tom Clancy’s Rainbow Six Rogue Spear Mission Pack: Urban Operations,2000,Windows 95/98/ME/2000
Tom Clancy’s Splinter Cell Pandora Tomorrow,2004,Windows 98/ME/2000/XP
Tom Clancy’s the Division,2016,Windows 7 SP1/8.1/10
Tom Claney’s Ghost Recon: Advanced Warfighter,2006,Windows 2000/XP
Tom Claney’s Ghost Recon: Desert Siege,2002,Windows 9X/ME/2000/XP
Tom Claney’s Ghost Recon: Island Thunder,2002,Windows 9x/ME/2000/XP
Tom Claney’s Splinter Cell,2002,Windows 98/ME/2000/XP
Tom Claney’s Splinter Cell: Espionage Pack,2004,Windows 98/ME/2000/XP
Tomb Raider,1998,Windows 95
Tomb Raider Chronicles,2000,Windows 95/98/ME
Tomb Raider II,1998,Windows
Tomb Raider II starring Laura Croft,1998,Windows
Tomb Raider The Angel of Darkness,2003,Windows 98
Tomb Raider: Unfinished Business,1999,DOS 6.0/Windows 95
Tonka Construction,1996,Windows/MAC
Tonka Firefighter,2003,Windows 98/Me/2000/XP
Tonka Garage,1998,Windows 95
Tonka Raceway,1999,Windows 95/98
Tonka Search and Rescue,1997,Windows 3.1/95/MAC
Tonka Search and Rescue 2,2002,Windows 98/Me/XP
Tonka Space Station,2000,Windows 95/98
Tonka Town,2003,Windows 98/Me/2000/XP
Tony Hawk’s Pro Skater 2,2000,Windows
Tony La Russa Baseball 2,1995,Windows
Toontown Online,2004,Windows 98/ME/2000/XP
TopGun,2010,Windows Vista/XP
Torchlight,2009,Windows XP/7
Torin’s Passage,1995,Windows
Tornado Operation Desert Storm,1994,DOS
Torro Z: Cinematic Action Adventure,1995,MS DOS 5.0
Tortuga Pirates of the new world,2007,Windows 98SE/ME/2000/XP/Vista
Total Annihilation,1997,Windows 95
Total Casino 98,1998,Windows 95/98/NT 4.0
Total War Rome 2,2013,Windows XP/Vista/7/8
Total War Shogun 2,2011,Windows 7/Vista
Totally Twisted: After Dark Screen Saver,1998,Windows 95
Totally Unreal,1998,Windows
Tournament Chess,2002,Windows 98/ME/XP
Toy Story,2010,Windows 7/Vista SP2/XP SP3
Toy Story: CD-ROM Game,1996,Windows 3.1/95
Trainz Simulator 2 Pack,2013,Windows XP/Vista
Trainz Simulator 2 Pack,2013,Windows XP/Vista/7
Traitors Gate,2000,Windows 95/98 and System 7.5
Travel Map,1995,Windows
Treasure Math Storm!,1997,Windows 3.1/95
Treasure Mountain,1998,Windows 3.1/DOS/Mac
Trend Micro Smart Surfing,2011,Mac OSX 10.4
Tribes,1998,Windows 95/98
Tribes 2,2001,Windows
Tribes 2,2000,OS Windows 95/98/2000/ME/NT 4.0
Triple Play 99,1998,Windows 95
Trivial Pursuit CD-ROM Edition,1996,Windows
Trivial Pursuit Millennium Edition,1999,Windows 95/98
Tron 2.0,2003,Windows 98/ME/2000/XP
Tron 2.0,2003,Windows 98/ME/2000/XP
Trophy Bass 2,1996,Windows
Tropico 3,2009,Windows 7/Vista/XP SP 2
Tropico 5,2014,Windows Vista SP2/7/8
Trucker’s Helper:Drivers Edition,Mid 2000s,Windows XP
TurboTax: Deluxe,2002,Windows 95/98/NT4D/2000/ME/XP
Turok,2007,Windows XP/Vista
Turok,2007,Windows Vista
Turok Seeds of Evil,1998,Windows 95/98
Twisted Lands Shadow Town,2011,Windows 7/XP/Vista
Two Worlds,2007,Windows XP SP2/Vista (32-bit only)
Two Worlds,2007,Windows XP/Vista
U.S. Navy Fighters,1999,Windows 95/98/DOS
UFO Afterlight,2007,Windows 2000/XP
Ultima Online,2002,Windows ME/98/95
Ultima I,1986,Commodore 64
Ultima III Exodus,1983,Commodore 64
Ultima IV Quest of the Avatar,1985,Apple II
Ultima VI the False Prophet,1990,DOS
Ultimate Body Blows,1994,DOS 3.0
Ultra Pinball The Lost Continent,1997,Windows
Ultrabots,1993,DOS 5.0
Universe At War Earth Assault,2007,Windows XP/Vista
Unnecessary Roughness 96,1995,Windows
Unreal,1999,Windows
Unreal,1998,Windows 95/98/NT
Unreal 2 The Awakening,2002,Windows 98/2000/Me/XP
Unreal Gold,1998,Windows 95/98
Unreal Tournament,1999,Windows 95/98
Unreal Tournament 2004,2004,Windows 98/ME/2000/XP or Linux
Unreal Tournament 2004: DVD Special Edition,2004,Windows98/ME/2000/XP/Linux
Unreal Tournament III,2007,Windows XP/Vista
USNF 97,1996,Windows 95
ValueWord,1986,Commodore 64/128
Vampire The Masquerade Redemption,2000,Windows
Vanguard Saga of Heroes,2007,Windows
VeggieTales Veggie Carnival,2002,Windows & Mac
Veggite Tales the Mystery of Veggie Island,2003,Windows 98/ME/XP
Versa Check Refills,1998,DOS/Windows?
Video Editing with NCH VideoPad Software For Dummies,2013,Windows 7/8/Vista/XP & Mac 10.4
Video Studio Pro X3,2010,Windows XP
Vietcong 2,2005,Windows 2000/XP
Vietnam Black Ops,2000,Windows 95/98/ME
Vietnam Ho Chi Minh Trail,2003,Windows 98/Me/XP
Vigilance,1998,Windows 95/98
Vigilance,1998,Windows 95/98
Vin Diesel: Wheelman,2009,Windows XP SP3/Vista
Vipre Internet Security 2013,2013,Windows XP/Vista/7/8
Virtua Fighter,2006,Windows 95/98/ME/XP
Virtual Pool,1996,Mac
Virtual Pool,1998,Windows 95
Virtual Pool 3,2004,Windows 98/2000/ME/XP
Virtual Resort Spring Break,2002,Windows 98/ME/XP
Virtuoso,1994,MS-DOS 5.0
Volume One: Adventure Collection,2006,Windows 2000/XP
VR Sports Powerboat Racing,1998,Windows
Wal-Mart FLW Tour Professional Bass Tournament,1999,Windows 95/98
Wallobee Jack “the Bingi Burra Stone”,1994,Windows/Mac
Walt Disney World Explorer,1998,Windows 95
War Craft: Battle Chest,2003,Windows XP/Vista
War Hammer: Dawn of War,2004,Windows
War Leaders: Clash of Nations,2008,Windows 2000/XP/Vista
Warcraft 2 Beyond the Dark Portal (Expansion Set),1996,MS-DOS/Windows 9.5/3.1/Mac
Warcraft 2 Types of Darkness,1995,MS-DOS
Warcraft Battle Chest,2003,Windows XP/Vista
WarHammer Online: Age of Reckoning,2008,Windows
Warhammer: Dawn of War Gold Edition,2004,Windows 98SE/2000/XP/ME
WarHammer: Dawn of War II Retribution,2011,Windows XP SP2/Vista/7
Warhammer: Mark of Chaos,2006,Windows 2000/XP
Warlords Battlecry II,2002,Windows 95/98/ME/2000/XP
Warlords IV: Heroes of Etheria,2003,Windows 98/ME/2000/XP
Warplanes Modern Fighting Aircraft Encyclopedia,1994,Windows 3.1 and Mac
Watch Dogs,2014,Windows Vista/7/8
WCW Nitro,1998,Windows 95
Web Plus X4,2009,Windows XP/7
Webroot,2014,Windows XP/7/8.1 and Mac OSX 10.7.3
Webroot Window Washer Five,2003,Windows 98/ME/2000/ME/XP/NT4
Wedding Dash: Rings Around the World,2008,Window XP
Welltris,1989,DOS
What Air Can Do,1994,Windows/Mac
What Would Jesus Do Screensaver,1998,Windows 3.1/95
Wheel of Fortune,2003,Windows 2000 SP4/XP SP2/Vista
Wheel of Fortune,1998,Windows 95/98
Wheel of Fortune 1st Edition,1998,Windows 95/98
Wheel of Fortune 2003,2002,Windows 98/ME/2000/XP
Where in the WORLD is Carmen Sandiego,1996,Windows
Where’s the Blanket Charlie Brown,2002,Windows
Whiplash,1998,Windows 95
Whitetail fever,1998,Windows 98/95
Who Wants to be a Millionaire,1999,Windows 95
Who Wants to Be a Millionaire 3rd Edition,2001,Windows 95/98/ME and Mac System 8.6
Who Wants To Be A Millionaire Sports Edition,2000,Windows 95/98/ME and Mac System 8.6
Who Wants to be a Millionaire: Second Edition,2000,Windows 95/98 & Mac
Will Maker 5,1996,Windows 3.1/95
William Shatner’s TekWar,1995,DOS 5.0
Windows 7 Professional,2009,Windows
Windows 7 Professional Upgrade,2009,Windows 7
Windows 7 Ultimate,2009,Windows 7
Wine Tycoon,2009,Windows
Wing Commander III: Heart of the Tiger,1995,Mac
Wing Commander Prophecy,1997,Windows
Wings Korea to Vietnam,1995,Windows 3.1
Wings Midway to Hiroshima,1995,Windows 3.1
Wings of Glory,1994,Windows
Wings Saigon to Persian Gulf,1995,Windows 3.1
Winner’s Circle V.I.P. Pass Tony Stewart,2000,Windows
Wipeout XL,1997,Windows 95
Wizardry 8,2001,Windows 95/98/2000
Wizards & Warriors,2000,Windows 95/98
Wizards and Warriors,2000,Windows 95/98
Wolfenstein,2009,Windows XP/Vista
Wolfenstein The New Order & The Old Blood,2015,Windows 7/8
Women’s Murder Club Death in Scarlet,2008,Windows Vista/XP
Wonders of the Universe,No Specified Year,Windows 95
Wordmania,2006,Windows 98/XP/2000/ME
WordPerfect Suite 8,1997,Windows 95/NT 4.0
WordPerfect Suite 8,1997,Windows 95/NT 4.0
World Book 2002 Deluxe Edition,2001,Mac OS X
World Book Millenial Edition,1999,IBM/Quicktime
World Explorer Deluxe,2000,Windows 95/98/NT/2000/Mac
World of EA Sports,2005,Windows XP/ME/2000/98
World of War Craft Mists of Pandaria (Collector’s Edition),2012,Windows
World of WarCraft,2013,Windows XP/Vista/7/8
World of WarCraft,2004,Windows98/ME/2000/XP
World of WarCraft Cataclysm,2010,Windows XP/Vista/7
World of WarCraft Legion,2016,Windows 7/8/10
World of WarCraft Mists of Pandaria,2012,Windows XP/VIsta/7/8
World of WarCraft Wrath of the Ligh KIng,2008,WindowsXP/Vista
World of WarCraft: Battle Chest,2008,Windows XP/Vista & Mac
World of WarCraft: Battle Chest,2011,Windows Vista/XP/7
World of Warcraft: Burning Crusade,2007,Windows 2000/XP/Vista &Mac
World of Warcraft: Starter Edition,2011,Windows XP/Vista/7
World of World Craft: Game Card,2004,Windows
World’s Best Backgammon,1995-ish???,Windows 95
Wrath of the Gods,1994,Windows
WW2 Normandy,2001,Windows 95/ME/XP
Wyatt Earp’s Old West,1994,Mac 6.0.7
X Plane,2000,Windows and Mac
X-COM Enforcer,2001,Windows 95/98/ME
X-COM Interceptor,1998,Windows 95
X3 Renuion 2.0,2006,Windows 98se/ME/2000/XP
X3 Reunion 2.0,2006,Windows XP
X3 Terran Conflict 2.0,2008,Windows XPsp2/Vista
XIII,2003,Windows 98/ME/2000/XP
Xrebirth,2013,Windows 8/7/SP1/Vista/SP2
You Are Empty,2007,Windows 2000/XP
You Don’t Know Jack,1998,Windows 3.1/95 and Mac 7.1
You Don’t Know Jack,1995,Windows 3.1/95 & Mac
You Don’t know Jack,1995,Windows
You Don’t Know Jack Sports,1996,Windows
You Don’t Know Jack TV,1997,Windows
You Don’t Know Jack: Movies,1997,Windows 3.1/95 & Mac
You Don’t Know Jack: Volume 4 The Ride,1998,Windows
Your Complete Landscape & Garden Designer,2005,Windows 98/ME/XP
Z,1996,DOS/Windows
Zax the Alien Hunter,2001,Windows
Zebco Pro Fishing,1998,Windows 95/98
Zoo Tycoon,2003,Windows 98/ME/2000
Zoo Tycoon 2,2005,Windows XP/2000/ME/98SE
Zoo Tycoon: Complete Collection,2003,Windows 98/ME/2000
Zoo Vet,2005,Windows 98/ME/2000/XP
Zoombinis Island Odyssey,2002,Windows & Mac
Zork Nemesis,1996,Windows
